resp_id,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
w2020_124,7,6,7,7,4,4,3,6,1,7,3,6,4,3,6,3,6,3,3,4,6,3,7
w2020_125,7,7,4,5,5,3,4,5,2,7,4,6,2,1,3,6,4,4,6,3,7,2,7
w2020_126,3,2,3,4,6,2,2,5,1,7,2,5,5,2,3,3,6,6,5,4,7,2,5
w2020_127,7,3,4,6,1,7,6,7,1,6,4,6,6,4,2,6,6,6,4,2,7,1,7
w2020_128,5,5,6,7,4,5,5,7,1,7,5,7,6,7,3,6,5,6,6,4,7,2,6
w2020_129,6,6,5,6,5,6,5,5,2,6,4,6,6,3,3,5,5,5,3,5,6,3,6
w2020_130,6,6,3,7,5,6,4,5,3,5,4,7,5,3,4,5,5,5,5,4,5,2,7
w2020_131,4,5,3,6,6,7,6,6,3,6,3,6,6,6,3,7,6,4,4,2,7,4,7
w2020_132,3,6,4,5,5,5,5,6,2,6,3,6,5,3,4,5,5,6,5,2,5,5,7
w2020_133,6,6,3,7,4,2,6,6,2,7,5,6,7,2,1,5,3,5,4,5,7,2,7
w2020_134,4,5,4,5,3,5,5,5,2,5,4,5,5,5,3,5,4,6,6,5,4,3,5
w2020_135,7,7,1,7,4,7,7,7,1,7,6,7,7,1,4,7,4,7,4,4,7,1,7
w2020_136,6,5,7,7,7,6,6,6,7,7,3,6,4,4,3,5,5,6,6,5,6,4,7
w2020_137,5,6,2,7,5,3,5,7,2,6,5,6,3,6,2,6,2,5,4,6,7,1,7
w2020_138,6,6,4,6,4,6,6,5,3,6,6,6,6,5,4,5,5,5,5,5,5,4,6
w2020_139,2,6,3,7,2,4,5,6,2,5,3,7,3,6,2,5,3,5,5,3,7,1,7
w2020_140,5,7,4,6,3,2,2,4,4,7,3,6,2,2,6,6,4,4,5,6,7,4,6
w2020_141,6,4,6,7,6,7,6,6,2,5,3,7,5,2,3,5,6,5,4,2,7,2,6
w2020_142,6,7,3,3,5,6,6,5,1,6,5,5,6,5,5,6,3,6,5,3,7,1,6
w2020_143,5,5,3,6,4,4,4,6,2,6,4,6,5,3,4,4,5,4,4,4,6,2,7
w2020_144,7,5,2,7,2,3,5,6,1,7,5,6,1,5,2,6,7,6,6,5,7,1,7
w2020_145,6,6,4,5,6,5,4,5,1,6,5,6,5,4,4,6,5,5,5,3,7,1,6
w2020_146,6,5,6,6,5,6,5,6,3,6,4,7,6,2,2,6,7,5,5,6,6,3,6
w2020_147,7,6,2,6,3,5,6,6,6,7,4,7,6,4,3,5,4,6,6,4,7,2,7
w2020_148,6,6,3,7,5,5,6,6,2,7,6,7,6,6,3,6,2,5,6,5,7,1,6
w2020_149,6,5,4,5,5,4,3,6,2,6,2,6,5,4,4,6,6,5,5,5,6,2,6
w2020_150,6,3,6,5,5,6,5,3,2,6,3,5,6,3,3,5,6,6,6,5,7,3,7
w2020_151,6,6,3,4,4,6,3,5,2,6,5,5,5,2,5,5,4,5,3,3,5,3,4
w2020_152,7,7,4,6,4,4,4,7,6,7,3,7,5,7,3,5,6,6,7,6,7,4,7
w2020_153,6,7,3,6,4,3,6,6,3,7,5,6,5,2,2,3,5,6,3,3,7,2,7
w2020_154,7,7,6,5,4,4,4,6,1,5,4,7,3,5,3,5,4,5,4,4,4,3,7
w2020_155,6,6,5,6,3,6,2,6,1,7,2,7,7,3,2,6,3,7,2,6,7,2,7
w2020_156,6,6,7,5,4,6,4,6,3,7,4,6,6,4,3,5,7,6,4,4,5,3,6
w2020_157,5,7,5,3,5,2,3,6,2,5,3,6,3,3,5,5,5,5,3,2,7,2,7
w2020_158,7,7,3,6,5,6,6,5,2,7,6,6,7,4,5,6,6,5,4,6,7,1,6
w2020_159,6,6,4,4,3,4,4,5,2,6,4,5,4,4,3,6,4,6,5,6,6,1,6
w2020_160,7,5,7,7,3,7,5,6,2,7,5,7,7,3,2,7,6,7,5,5,5,2,6
w2020_161,6,5,5,6,4,4,4,5,3,6,5,6,5,4,4,5,5,5,5,4,5,3,5
w2020_162,6,6,7,4,3,4,5,6,2,6,4,5,5,3,5,4,4,5,5,5,7,2,7
w2020_163,5,6,4,6,6,3,5,4,6,4,3,6,4,2,4,3,2,5,6,3,7,2,5
w2020_164,7,4,7,4,6,3,4,3,2,7,4,7,7,4,4,4,7,5,3,5,7,4,7
w2020_165,6,5,6,6,5,6,4,4,2,6,4,6,4,3,4,6,5,5,6,4,5,3,6
w2020_166,5,7,4,6,4,5,6,5,2,6,5,6,5,3,3,4,3,5,4,4,5,3,6
w2020_167,6,5,6,6,5,5,5,4,2,6,3,6,4,5,4,6,4,5,6,3,5,3,6
w2020_168,6,6,3,6,4,4,6,5,2,6,6,6,6,5,3,6,4,6,5,3,5,4,7
w2020_169,5,5,1,5,6,3,5,7,4,7,5,7,5,4,1,5,4,5,4,5,7,1,7
w2020_170,5,6,3,6,4,5,4,6,2,7,3,6,4,3,6,6,6,5,3,3,6,3,6
w2020_171,7,6,3,6,4,3,5,6,2,7,4,7,5,3,3,5,4,5,4,4,7,2,7
w2020_172,6,5,5,6,3,5,2,4,2,6,3,6,3,3,3,6,3,5,5,4,6,2,5
w2020_173,6,7,4,5,6,3,5,7,1,7,5,5,5,3,4,7,4,6,7,4,7,2,7
w2020_174,6,7,4,7,3,6,6,5,2,6,5,6,3,4,3,4,3,6,4,3,6,3,6
w2020_175,7,5,7,7,5,7,2,6,1,7,5,6,6,6,4,7,6,6,5,5,7,3,6
w2020_176,6,4,6,6,3,7,4,6,2,7,4,7,6,4,5,5,6,6,3,3,7,4,7
w2020_177,7,5,4,5,3,3,5,5,6,6,4,6,4,5,4,5,4,5,4,4,6,3,2
w2020_178,6,5,4,7,4,2,4,7,6,7,4,6,5,4,6,5,6,6,4,6,7,3,7
w2020_179,7,6,4,6,5,4,2,5,2,6,3,7,1,3,3,4,5,5,2,3,7,4,7
w2020_180,5,4,6,4,2,3,4,4,6,3,5,6,5,2,2,5,3,4,2,5,7,2,6
w2020_181,5,5,5,6,4,5,4,6,3,6,3,6,5,3,3,4,5,5,3,2,6,2,6
w2020_182,7,5,4,7,4,4,4,7,4,6,4,7,5,3,5,4,6,5,2,6,7,3,7
w2020_183,7,7,6,6,3,6,2,6,2,6,4,6,6,4,3,6,6,5,6,4,6,4,7
w2020_184,4,7,7,6,5,7,7,4,1,7,5,7,7,2,4,5,6,5,5,4,7,2,7
w2020_185,5,7,4,6,3,4,6,7,2,7,5,7,3,4,2,6,3,7,5,7,7,1,7
w2020_186,6,6,7,6,5,7,5,7,3,6,4,6,5,3,3,5,7,5,3,5,6,2,6
w2020_187,7,6,6,5,4,4,3,5,3,7,2,7,4,3,3,4,6,6,5,5,7,1,7
w2020_188,3,6,3,7,1,6,5,6,1,7,4,7,7,6,2,6,5,6,4,5,7,4,7
w2020_189,6,5,4,6,4,4,6,7,5,7,6,5,5,3,4,6,5,6,4,6,7,1,6
w2020_190,5,6,4,3,3,4,5,5,2,6,5,5,4,2,3,4,5,5,6,3,6,3,6
w2020_191,6,5,5,7,4,4,5,5,3,7,5,7,6,6,3,6,5,6,5,5,7,3,7
w2020_192,7,5,7,7,4,7,4,6,1,6,6,7,7,5,3,6,7,4,6,1,7,2,7
w2020_193,6,7,6,5,5,5,7,5,2,5,4,5,5,3,5,4,4,6,5,4,7,4,7
w2020_194,5,6,4,4,3,6,4,5,1,7,2,5,3,2,4,6,6,6,4,3,6,3,7
w2020_195,5,7,4,5,5,2,6,5,2,5,4,5,3,5,2,4,3,6,6,2,6,1,7
w2020_196,6,5,6,7,3,6,2,4,3,7,2,7,6,3,6,5,6,6,5,2,7,3,6
w2020_197,5,7,7,7,4,3,3,7,1,7,4,7,6,4,4,7,3,4,5,2,7,1,7
w2020_198,7,5,3,7,5,7,5,6,2,7,5,7,6,3,3,7,5,6,7,5,6,1,7
w2020_199,7,4,5,5,4,6,4,6,2,7,4,6,6,4,5,5,6,4,5,4,7,4,7
w2020_200,7,7,5,7,3,6,7,7,1,7,4,7,3,1,2,6,7,6,7,6,7,1,7
w2020_201,5,6,3,7,4,5,6,5,2,7,4,6,6,5,4,6,5,5,6,5,7,3,5
w2020_202,5,4,6,6,3,4,6,5,2,6,3,7,6,4,5,3,4,6,4,5,6,3,7
w2020_203,6,5,5,4,5,5,3,3,1,7,4,7,5,3,3,4,6,5,3,5,7,4,5
w2020_204,5,5,3,4,3,4,4,5,3,6,4,6,3,4,4,4,3,4,3,4,6,4,4
w2020_205,6,6,4,3,4,6,5,7,3,5,4,6,7,3,2,5,5,6,3,4,7,2,7
w2020_206,5,6,4,7,5,5,5,6,2,7,5,7,6,4,3,4,5,6,5,2,7,2,6
w2020_207,6,5,2,6,5,7,5,4,2,5,4,6,6,3,2,5,4,5,5,4,5,4,6
w2020_208,4,6,5,4,3,3,4,3,5,6,3,6,5,3,3,4,5,4,4,3,6,5,5
w2020_209,7,7,6,7,1,5,5,7,2,7,2,7,7,4,3,4,7,7,4,4,7,4,7
w2020_210,4,5,7,6,5,6,5,5,3,6,2,6,5,1,6,3,6,5,2,1,7,4,7
w2020_211,6,6,4,6,5,6,3,5,1,6,3,6,5,5,2,5,4,6,5,5,7,3,6
w2020_212,6,6,6,5,5,6,4,6,2,7,3,7,7,3,5,6,7,3,4,3,7,3,7
w2020_213,6,5,6,7,5,5,5,7,1,7,5,7,5,5,3,6,4,5,5,2,6,3,7
w2020_214,5,6,7,6,4,7,3,3,4,7,3,7,6,6,3,5,4,5,4,3,7,4,6
w2020_215,6,4,3,7,1,3,5,6,1,7,2,7,6,4,1,5,5,7,1,5,7,4,7
w2020_216,5,4,5,5,2,3,6,6,2,4,5,5,6,2,3,4,3,3,6,3,5,5,7
w2020_217,6,5,5,7,3,3,5,6,3,6,5,6,6,2,2,5,6,5,2,5,7,2,6
w2020_218,7,6,5,7,5,1,5,6,5,7,3,7,5,6,1,5,2,5,5,5,6,2,7
w2020_219,5,5,5,7,4,7,4,7,1,7,3,7,4,3,4,5,5,4,4,4,7,3,6
w2020_220,7,6,3,6,6,6,5,7,2,7,5,7,7,5,5,6,5,7,5,4,6,3,7
w2020_221,7,6,5,7,7,5,2,4,3,6,3,7,6,3,6,6,7,5,3,3,7,5,6
w2020_222,7,6,6,7,4,6,4,7,2,7,5,7,7,2,4,6,7,6,4,2,7,3,7
w2020_223,6,4,2,7,4,6,3,7,1,7,2,7,6,2,2,6,6,6,6,4,7,1,7
w2020_224,2,4,5,6,4,2,5,6,3,7,5,7,2,3,2,4,5,3,5,3,6,2,6
w2020_225,5,6,4,7,5,5,7,4,1,7,6,6,5,4,3,6,5,5,5,5,6,2,6
w2020_226,7,6,6,6,6,5,5,5,2,6,3,5,5,6,3,4,7,6,6,3,6,3,6
w2020_227,7,7,4,6,6,6,2,7,1,7,1,7,6,1,2,6,7,6,6,6,7,2,7
w2020_228,6,5,4,7,3,6,4,7,2,5,2,6,6,2,5,5,3,5,4,2,6,3,6
w2020_229,7,2,7,6,2,6,5,6,6,7,1,7,6,2,3,3,7,7,3,4,7,6,7
w2020_230,5,6,2,6,2,4,3,2,6,7,6,5,4,2,2,5,7,6,2,7,6,2,6
w2020_231,7,7,3,5,5,3,4,4,4,7,5,6,7,5,5,6,5,6,5,3,7,2,6
w2020_232,6,6,3,6,4,7,5,6,2,7,5,7,5,5,2,5,7,6,5,5,7,3,7
w2020_233,7,7,5,5,6,4,3,4,2,7,6,5,7,6,5,6,7,6,3,5,7,2,5
w2020_234,6,6,3,7,5,6,5,3,2,7,5,6,6,4,2,4,3,6,6,5,5,2,6
w2020_235,5,7,7,7,5,7,3,7,1,7,5,7,7,6,3,6,7,5,6,5,7,1,7
w2020_236,5,6,3,6,2,5,5,7,2,7,5,7,5,2,3,4,3,5,5,3,6,1,7
w2020_237,5,3,5,6,4,6,3,6,2,7,4,6,5,5,3,5,5,5,1,4,6,3,6
w2020_238,6,5,2,4,1,5,3,6,2,7,2,7,2,1,2,5,3,5,4,6,7,1,7
w2020_239,5,7,2,6,5,7,6,7,1,6,6,7,3,4,2,6,1,6,3,5,7,1,7
w2020_240,7,6,3,6,6,7,7,6,2,7,5,6,5,5,3,6,3,3,4,4,5,2,7
w2020_241,7,7,4,5,4,5,6,4,4,7,4,5,5,4,4,6,4,7,4,4,7,4,6
w2020_242,6,5,5,7,6,6,5,6,5,6,6,7,7,5,5,5,6,5,6,4,7,4,6
w2020_243,6,3,6,1,7,7,6,4,1,7,5,6,7,3,6,6,6,7,7,4,7,1,7
w2020_244,7,7,7,7,5,5,6,6,1,7,7,7,5,6,3,7,4,5,6,5,7,1,7
w2020_245,7,6,7,4,5,5,5,6,1,6,5,7,5,1,4,7,6,7,6,5,7,1,7
w2020_246,7,7,7,7,6,4,5,6,1,7,5,7,4,1,1,6,2,6,5,2,7,1,7
w2020_247,7,7,7,6,5,3,5,5,1,7,3,6,7,3,5,4,7,6,6,5,1,1,7
w2020_248,7,6,5,7,4,5,4,6,1,4,4,6,6,4,2,4,5,6,5,4,6,2,7
w2020_249,5,7,4,6,4,6,3,7,3,7,2,7,5,1,3,7,2,5,5,5,7,1,7
w2020_250,7,6,2,4,6,5,6,5,1,7,6,5,7,4,3,6,4,6,6,3,6,2,5
w2020_251,7,5,7,6,4,7,5,5,3,7,5,7,7,4,4,5,7,7,4,3,7,2,6
w2020_252,7,7,4,7,5,7,6,7,7,7,5,7,7,3,3,6,5,7,5,3,7,1,7
w2020_253,7,6,7,7,4,4,2,6,1,7,3,7,7,1,5,4,4,5,1,2,7,1,7
w2020_254,6,6,4,6,5,6,6,6,2,7,6,6,6,3,5,5,5,6,4,6,7,1,6
w2020_255,5,7,3,6,2,4,7,6,1,6,5,7,5,6,1,6,4,7,4,7,6,1,7
w2020_256,7,6,3,7,4,5,2,4,6,6,3,6,6,5,4,4,6,5,4,4,6,3,6
w2020_257,6,4,5,6,7,6,5,6,3,6,3,6,6,6,6,6,6,6,5,3,7,4,7
w2020_258,6,5,7,6,4,5,3,5,6,7,5,5,6,3,3,7,3,6,3,6,7,2,7
w2020_259,7,5,4,7,5,5,6,7,1,7,5,7,7,5,3,6,3,7,5,5,6,2,7
w2020_260,7,6,7,7,5,5,6,5,3,5,3,5,4,2,3,4,6,3,4,3,7,4,6
w2020_261,7,5,5,6,4,3,4,7,6,7,6,5,6,3,2,6,5,7,4,5,7,2,7
w2020_262,4,6,3,6,4,3,5,3,3,5,5,6,3,5,3,5,3,6,5,2,6,3,5
w2020_263,6,6,3,7,6,7,6,6,3,7,3,7,7,5,6,6,7,6,7,3,6,2,7
w2020_264,5,3,4,6,4,5,4,3,6,7,2,7,6,3,2,5,5,5,4,4,7,2,5
w2020_265,6,5,4,6,5,5,5,4,5,4,5,6,4,2,4,5,5,5,3,5,6,4,6
w2020_266,5,6,7,6,4,3,3,4,1,5,4,5,6,4,5,4,7,3,2,1,7,1,5
