resp_id,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26
w2022_098,6,6,5,5,5,6,7,7,5,6,4,5,6,4,3,4,6,5,5,6,6,6,6,7,6,6
w2022_099,6,6,4,6,5,5,6,7,5,4,5,7,6,6,5,4,4,5,5,6,6,7,6,5,6,7
w2022_100,7,7,5,4,5,6,7,5,2,6,5,4,5,3,3,4,5,2,5,5,4,7,7,5,6,5
w2022_101,7,7,5,5,5,7,3,7,5,7,7,7,7,5,7,5,7,5,7,6,7,7,7,7,7,7
w2022_102,7,7,5,7,5,5,7,7,3,7,4,6,5,6,3,1,5,5,6,5,6,7,7,6,7,6
w2022_103,6,6,2,5,5,6,6,6,3,6,3,6,6,5,3,5,6,5,5,5,5,5,6,5,5,7
w2022_104,7,7,5,4,6,6,6,7,3,4,2,4,4,2,4,3,4,4,3,4,5,5,7,5,5,7
w2022_105,7,7,7,7,5,5,5,7,5,6,5,6,6,6,7,6,6,6,6,6,7,7,6,6,6,7
w2022_106,5,7,7,4,3,3,7,7,6,7,5,3,4,7,3,5,4,3,5,3,5,7,4,6,5,7
w2022_107,6,6,5,5,6,5,4,5,3,4,4,5,6,5,3,5,6,5,6,5,5,6,6,5,5,5
w2022_108,6,4,5,4,4,4,4,5,3,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,5,5
w2022_109,7,7,7,7,5,7,7,7,5,3,4,5,6,3,2,6,7,5,6,6,5,5,6,7,5,6
w2022_110,7,6,5,5,5,3,3,7,2,5,2,3,3,6,5,5,5,5,5,5,5,6,5,6,5,6
w2022_111,6,6,7,5,4,5,7,5,4,5,4,5,5,6,6,4,6,3,6,6,6,5,6,5,5,6
w2022_112,5,5,3,4,5,5,6,7,4,2,4,5,6,2,3,5,6,5,6,6,6,5,5,6,6,6
w2022_113,7,6,6,5,6,7,6,6,4,6,5,6,7,7,5,3,6,5,6,6,6,6,6,7,7,6
w2022_114,6,6,6,7,4,5,6,6,5,5,4,6,6,4,5,4,6,5,5,6,6,6,5,5,6,3
w2022_115,6,6,5,4,4,5,5,7,2,5,3,5,6,5,7,2,6,5,6,6,6,6,6,6,6,7
w2022_116,6,7,7,4,5,5,7,7,4,6,5,4,3,5,5,4,4,6,7,7,7,7,6,5,7,7
w2022_117,7,7,7,1,7,7,7,7,7,7,7,7,5,5,6,5,6,4,5,4,5,5,5,5,5,5
w2022_118,7,6,4,6,5,4,6,5,2,6,2,6,6,6,1,1,7,6,6,6,6,7,4,6,7,6
w2022_119,5,5,3,6,6,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3
w2022_120,7,6,5,4,5,3,5,7,3,4,2,7,7,5,2,4,5,5,6,6,4,6,4,7,5,7
w2022_121,5,4,4,6,5,6,5,6,6,6,6,6,6,7,4,4,6,5,6,6,6,4,6,6,6,6
w2022_122,6,5,4,4,4,5,6,4,3,5,4,6,6,6,6,4,6,4,5,5,5,6,6,6,6,6
w2022_123,6,7,3,5,4,6,6,6,5,7,4,5,6,3,5,1,6,5,6,6,7,6,6,7,6,6
w2022_124,7,7,5,5,5,6,7,7,3,3,6,5,7,5,5,3,4,4,7,6,7,5,4,4,7,5
w2022_125,6,7,5,5,5,7,7,7,3,4,6,6,6,5,3,4,6,6,6,5,7,5,5,6,6,4
w2022_126,6,6,3,6,6,6,7,7,5,6,3,5,7,5,7,4,7,4,7,7,7,6,7,6,7,6
w2022_127,5,5,4,4,5,6,6,6,4,5,4,5,6,5,5,4,6,5,6,6,6,6,7,6,7,5
w2022_128,7,7,4,5,4,6,7,7,6,5,3,5,6,4,3,4,4,5,6,6,6,7,6,7,6,7
w2022_129,4,6,3,5,6,2,5,6,3,5,4,3,6,3,3,5,3,5,6,6,6,5,5,5,6,5
w2022_130,7,7,6,6,7,6,7,7,7,6,6,7,7,7,3,7,6,5,7,7,7,4,6,5,7,7
w2022_131,6,7,2,5,4,2,7,7,5,7,5,5,6,7,4,7,6,6,6,5,6,7,7,7,7,7
w2022_132,6,5,3,4,2,3,7,7,1,6,3,5,6,6,7,6,6,5,5,3,4,5,6,5,4,6
w2022_133,7,7,5,5,5,5,6,7,4,4,3,5,6,4,3,3,6,5,6,5,5,6,6,6,6,6
w2022_134,6,6,6,4,2,7,7,7,2,7,2,5,4,6,4,3,5,5,5,5,6,6,6,6,6,7
w2022_135,6,7,6,5,6,6,7,7,5,7,5,6,7,2,5,4,6,5,6,6,6,5,7,6,7,5
w2022_136,7,7,5,5,5,6,7,7,4,4,6,5,5,4,3,5,6,6,6,6,6,7,7,7,6,5
w2022_137,7,6,5,7,4,5,7,6,5,5,4,4,6,4,5,2,6,6,6,6,6,6,5,7,6,6
w2022_138,6,6,6,6,5,6,6,6,5,6,6,5,6,6,6,3,4,5,5,5,5,6,5,6,5,6
w2022_139,6,6,5,3,5,5,6,7,2,5,4,5,7,5,6,5,6,6,6,6,7,5,6,6,6,6
w2022_140,7,7,5,7,4,7,7,7,7,7,6,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7
w2022_141,6,6,5,2,5,6,6,6,2,5,4,5,5,5,7,1,5,3,5,6,6,6,5,6,6,6
w2022_142,6,6,5,4,4,4,7,7,3,5,4,5,5,5,5,4,6,5,5,5,5,4,6,5,6,5
w2022_143,7,5,5,7,4,5,7,6,5,4,4,6,5,3,5,2,4,3,6,7,5,6,3,4,6,7
w2022_144,5,6,2,6,5,4,4,6,4,6,5,6,7,4,7,5,6,3,5,6,6,6,6,4,4,5
w2022_145,7,7,7,6,7,7,7,7,4,6,3,7,7,7,7,5,7,6,6,7,7,7,7,7,7,7
w2022_146,5,5,4,5,5,5,5,5,4,3,6,5,4,3,3,4,5,5,5,5,5,6,4,5,5,5
w2022_147,5,6,5,5,6,6,7,6,6,6,4,6,5,5,6,5,5,6,6,7,7,4,5,7,6,5
w2022_148,6,6,3,3,5,3,6,5,1,6,5,5,3,6,6,2,3,3,4,5,5,6,6,5,5,6
w2022_149,7,7,3,6,5,6,7,7,5,3,3,7,6,3,5,4,6,6,7,7,7,4,5,5,7,7
w2022_150,7,7,7,7,4,5,6,7,5,7,3,5,7,6,5,3,6,6,7,6,7,7,7,7,6,7
w2022_151,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2022_152,6,6,6,4,5,3,7,6,4,6,3,5,5,5,6,4,7,3,6,5,6,6,6,6,6,7
w2022_153,7,7,4,6,5,7,7,7,5,5,3,4,6,4,2,4,5,6,6,6,6,6,7,6,7,7
w2022_154,7,5,4,5,4,3,5,6,3,5,2,5,5,5,7,4,5,3,5,6,6,7,5,5,4,6
w2022_155,7,6,4,5,5,4,5,5,5,5,4,5,5,4,6,2,4,5,6,6,6,7,7,6,6,6
w2022_156,5,6,5,4,6,4,6,4,5,5,4,5,4,4,5,3,4,5,4,4,4,3,6,3,5,5
w2022_157,6,5,6,5,4,5,6,7,5,7,5,7,7,7,4,3,7,6,7,7,7,6,7,7,7,7
w2022_158,6,6,5,7,4,7,7,7,6,4,5,4,5,4,5,5,6,5,4,5,5,7,6,7,6,6
w2022_159,4,4,2,4,6,3,4,3,3,4,4,3,3,3,6,5,2,4,3,4,3,3,4,3,5,2
w2022_160,7,7,7,5,5,6,7,7,5,6,6,7,7,7,7,6,6,6,6,6,7,7,6,7,6,6
w2022_161,4,6,6,6,7,7,7,7,5,7,3,7,7,6,5,4,6,3,7,7,7,7,7,7,7,7
w2022_162,7,7,7,5,6,7,7,7,3,4,3,7,7,7,7,5,7,4,7,7,7,7,7,7,7,7
w2022_163,5,6,4,5,5,7,6,6,6,6,5,7,7,5,7,5,6,3,6,6,7,7,6,7,7,6
w2022_164,7,7,7,2,4,7,7,7,4,6,4,5,5,6,6,4,6,3,6,7,7,7,7,6,4,6
w2022_165,7,7,7,4,4,4,7,7,4,7,6,3,7,7,7,5,5,3,7,7,7,2,7,7,7,7
w2022_166,4,6,7,3,4,5,6,6,4,6,4,4,5,7,7,1,7,3,6,4,4,6,4,5,3,6
w2022_167,6,6,6,4,6,6,6,6,6,6,4,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6
w2022_168,6,7,7,5,5,7,5,6,5,6,6,4,4,4,4,4,4,5,4,3,5,4,4,7,5,5
w2022_169,6,5,4,5,5,4,6,7,6,6,4,6,6,7,6,3,7,5,5,5,5,5,6,6,5,6
w2022_170,6,5,3,5,3,5,5,6,3,4,5,5,5,4,4,3,2,4,6,5,6,7,5,6,6,6
w2022_171,6,6,4,3,2,4,6,6,2,4,4,4,6,4,4,2,5,3,5,4,5,4,4,5,4,3
w2022_172,7,7,5,3,5,6,6,7,5,7,5,7,6,4,6,3,6,6,6,7,7,7,6,7,7,7
w2022_173,5,7,5,2,5,6,7,7,3,7,3,5,5,6,5,2,6,4,6,6,6,7,5,6,6,7
w2022_174,5,5,5,5,5,5,6,6,4,4,4,5,6,5,5,3,6,6,6,6,6,6,6,5,6,4
w2022_175,6,7,4,6,6,6,4,5,6,6,5,7,7,4,2,7,7,4,6,6,7,5,7,6,6,7
w2022_176,7,5,6,7,5,7,7,7,7,7,6,6,7,2,4,4,6,7,7,6,6,7,7,7,7,6
w2022_177,7,7,4,7,5,5,4,7,5,3,2,7,5,3,5,6,6,7,6,6,6,6,7,7,7,6
w2022_178,7,7,5,5,5,3,7,7,3,5,3,5,6,7,7,3,5,5,5,6,5,6,6,7,7,7
w2022_179,7,7,3,6,5,3,7,7,6,3,2,6,7,6,6,3,6,7,6,5,6,7,7,7,7,7
w2022_180,5,5,6,6,6,4,6,5,4,5,6,5,5,6,5,6,5,5,6,6,7,7,5,5,6,5
w2022_181,7,7,4,6,5,7,7,7,4,5,5,5,5,3,5,6,7,5,5,5,6,7,7,7,7,6
w2022_182,6,6,6,6,5,5,7,5,6,6,6,6,6,6,4,5,7,6,6,6,6,7,7,6,6,6
w2022_183,7,6,6,5,3,6,7,6,5,7,5,5,6,7,7,4,6,5,6,5,6,7,6,7,6,7
w2022_184,7,7,6,7,2,3,7,7,4,5,5,3,3,5,4,2,6,5,6,5,5,7,7,7,4,7
w2022_185,7,6,4,7,5,5,5,6,4,6,2,6,6,5,5,5,6,4,6,7,6,7,6,6,6,6
w2022_186,7,6,5,6,5,6,6,6,4,4,5,5,5,3,5,3,5,4,5,5,6,5,5,6,6,5
w2022_187,6,6,3,4,6,6,7,7,4,4,2,4,6,3,6,5,6,6,6,6,6,6,4,6,6,7
w2022_188,6,7,5,4,5,5,7,7,1,2,3,6,6,6,6,2,6,4,5,5,5,7,6,7,5,6
w2022_189,5,6,6,4,5,6,7,7,4,7,6,7,7,7,5,4,6,5,6,7,6,7,6,7,6,7
w2022_190,7,6,3,3,4,5,6,6,4,5,6,6,6,5,5,3,4,4,5,5,5,6,5,7,5,4
w2022_191,7,7,3,6,5,6,7,7,6,5,3,7,6,3,4,6,6,6,6,7,7,6,6,6,6,6
w2022_192,6,6,5,6,5,6,6,6,4,5,3,4,4,5,6,2,6,6,4,4,5,6,3,4,5,7
w2022_193,6,6,7,4,4,4,5,6,3,6,2,6,6,7,6,2,4,1,6,5,4,6,6,5,6,6
w2022_194,7,7,5,5,5,5,6,7,7,6,7,7,7,5,5,5,7,7,7,7,7,7,6,6,7,7
w2022_195,6,7,6,6,5,6,6,7,6,7,1,5,6,6,3,5,7,5,4,4,5,7,6,7,7,7
w2022_196,7,7,7,7,6,6,7,7,5,7,3,7,7,5,2,5,4,3,7,7,7,7,7,7,7,7
w2022_197,7,5,3,4,5,4,7,6,5,4,3,5,6,4,3,2,5,4,6,7,7,7,4,6,7,4
w2022_198,7,6,5,6,6,7,7,7,5,4,5,6,7,6,2,7,6,5,7,7,7,4,7,6,7,5
w2022_199,6,6,6,4,5,6,6,6,2,6,2,3,6,6,7,3,5,3,6,6,6,6,5,6,5,7
w2022_200,5,5,4,5,5,7,6,6,4,5,4,4,5,3,5,4,6,5,4,3,6,5,6,5,5,5
w2022_201,5,5,5,6,5,2,5,6,5,5,2,3,3,4,3,4,5,5,5,3,4,5,5,6,4,5
w2022_202,6,6,3,6,6,6,6,6,5,6,6,6,6,5,4,4,6,6,7,5,5,6,6,7,6,6
w2022_203,5,5,6,6,4,4,7,6,6,7,4,2,6,4,3,5,3,7,6,7,7,5,6,7,7,4
w2022_204,7,7,6,7,6,6,7,7,6,6,5,6,6,7,5,6,7,7,6,6,7,7,7,7,7,7
w2022_205,6,6,5,4,2,4,6,7,2,4,3,5,4,5,6,4,5,3,4,5,6,6,5,6,6,6
w2022_206,7,7,5,7,7,3,7,7,3,3,5,7,6,5,7,5,6,6,7,7,7,7,7,7,7,6
w2022_207,6,5,5,6,6,4,6,6,6,6,5,4,5,4,4,4,6,6,5,5,5,4,6,6,6,6
w2022_208,7,5,5,4,4,3,7,6,2,4,4,6,5,7,5,2,5,4,4,6,5,6,5,7,5,6
w2022_209,6,5,3,5,5,3,4,5,3,2,3,2,6,2,3,5,6,4,5,4,6,5,5,5,5,4
w2022_210,5,6,4,6,4,4,6,6,3,4,6,5,6,5,6,2,7,5,6,7,6,6,6,6,6,6
w2022_211,5,7,5,5,5,5,6,7,3,5,5,6,5,5,5,6,7,5,6,5,6,3,5,6,6,5
w2022_212,7,7,7,5,4,6,7,7,1,7,6,5,7,6,6,3,6,5,7,7,7,6,7,7,7,7
w2022_213,6,6,6,5,7,3,7,7,5,6,4,6,6,7,6,5,6,5,5,5,6,7,6,7,6,6
w2022_214,7,7,4,7,5,4,7,7,4,7,5,7,7,5,7,5,7,6,7,7,7,7,7,7,7,5
w2022_215,7,6,6,5,4,5,6,7,4,6,3,4,6,7,6,4,5,4,6,6,6,6,6,6,6,7
w2022_216,6,5,5,4,5,4,5,6,4,4,3,6,6,5,5,2,5,4,6,6,6,6,5,5,5,5
w2022_217,7,7,4,4,4,5,6,7,3,7,2,5,6,6,3,6,6,4,6,6,6,6,5,5,6,7
w2022_218,7,6,6,7,5,7,6,7,7,7,4,7,7,6,4,7,6,7,6,7,7,7,7,7,7,7
w2022_219,5,7,7,7,6,5,7,5,4,5,3,6,7,3,5,7,7,6,5,7,7,6,7,4,5,4
w2022_220,7,5,4,5,6,4,7,6,3,2,4,7,6,3,6,5,5,4,7,7,6,5,4,7,6,6
w2022_221,6,7,3,5,5,4,6,7,5,4,4,3,6,3,5,3,6,3,6,6,6,5,6,7,6,5
w2022_222,6,7,5,5,5,6,7,7,4,4,5,6,4,3,3,5,6,5,6,6,6,5,5,5,7,6
w2022_223,6,6,5,3,5,5,6,6,4,5,5,5,5,3,3,5,5,4,5,5,5,3,6,6,5,4
w2022_224,7,7,6,5,6,5,7,5,6,7,3,5,6,6,5,5,7,5,7,7,7,7,5,6,7,6
w2022_225,6,5,4,2,5,7,4,6,2,4,2,6,6,6,2,4,4,4,5,5,5,6,4,5,5,5
w2022_226,5,5,4,5,5,4,5,5,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,6,5,5
w2022_227,7,7,4,7,5,7,7,5,3,5,4,6,7,3,1,5,7,4,7,7,7,6,7,6,7,7
w2022_228,5,7,6,5,5,5,7,7,6,7,4,5,5,6,5,6,7,4,4,6,5,7,6,7,6,6
w2022_229,6,6,4,6,6,5,7,7,6,3,4,5,5,4,1,5,7,7,5,6,6,4,7,7,4,4
w2022_230,5,7,7,4,5,7,7,6,3,4,5,6,6,3,4,6,6,5,6,7,6,7,6,7,6,3
w2022_231,6,7,7,6,4,5,7,6,5,7,3,4,5,6,5,3,6,6,5,5,5,7,6,7,6,7
w2022_232,7,6,4,5,5,5,5,5,5,4,3,3,6,4,3,5,7,3,6,7,5,5,7,7,5,6
w2022_233,6,6,5,3,3,6,7,7,3,6,6,6,7,6,6,3,6,6,7,7,6,6,7,6,7,6
w2022_234,6,6,6,7,5,6,7,7,5,5,4,5,5,6,4,5,5,4,6,5,6,7,6,5,5,5
w2022_235,4,7,7,7,7,4,6,7,7,7,3,4,4,7,7,4,5,7,7,7,6,7,6,7,5,4
w2022_236,6,5,4,7,5,5,6,6,4,6,4,5,6,7,6,4,6,5,6,6,5,7,6,6,6,5
w2022_237,2,6,2,7,4,3,6,6,2,2,2,6,5,2,5,7,6,6,6,6,5,3,6,6,7,5
