resp_id,wave,bidr_01,bidr_02,bidr_03,bidr_04,bidr_05,bidr_06,bidr_07,bidr_08,bidr_09,bidr_10,bidr_11,bidr_12,bidr_13,bidr_14,bidr_15,bidr_16,bidr_17,bidr_18,bidr_19
w2023_039,2023,4,5,1,5,5,3,5,4,5,5,3,5,7,5,3,4,5,2,2
w2023_040,2023,5,7,2,5,3,7,1,6,1,7,1,7,1,4,1,2,4,2,5
w2023_041,2023,6,6,2,6,6,5,2,5,6,3,7,5,7,6,7,4,3,3,5
w2023_042,2023,4,6,4,7,5,6,6,5,2,6,1,6,7,7,4,5,4,3,4
w2023_043,2023,3,2,4,6,6,1,5,3,4,6,4,6,7,3,7,2,5,3,2
w2023_044,2023,5,6,4,6,5,3,2,6,3,6,5,2,1,7,3,5,5,6,2
w2023_045,2023,2,3,3,3,4,4,3,1,3,3,5,2,5,2,4,3,5,2,3
w2023_046,2023,2,2,3,4,5,3,4,2,4,3,3,5,4,5,4,3,5,6,4
w2023_047,2023,4,6,5,6,5,5,4,3,4,3,3,4,7,5,4,3,4,5,5
w2023_048,2023,6,6,3,2,6,7,3,2,4,6,2,4,6,5,4,2,5,3,4
w2023_049,2023,6,4,3,3,4,5,5,1,6,2,6,2,3,1,5,5,7,7,1
w2023_050,2023,4,6,4,5,4,7,4,4,3,7,4,7,6,4,5,4,5,5,5
w2023_051,2023,5,3,1,7,5,7,6,4,5,5,1,4,7,3,5,2,6,3,5
w2023_052,2023,7,7,1,6,5,4,6,1,6,5,3,5,7,3,4,2,6,3,5
w2023_053,2023,5,4,6,7,6,5,5,7,4,7,6,7,7,7,3,3,4,6,1
w2023_054,2023,4,5,4,5,6,7,6,2,4,6,6,6,6,7,6,3,6,4,5
w2023_055,2023,6,3,6,2,7,6,6,6,2,7,2,6,4,1,3,4,6,7,7
w2023_056,2023,6,4,4,5,3,5,2,3,4,4,4,4,7,6,4,4,4,3,4
w2023_057,2023,5,6,6,2,6,5,6,2,7,2,6,2,7,7,5,1,5,6,1
w2023_058,2023,6,2,2,2,3,4,5,5,3,6,5,1,7,2,6,2,6,4,2
w2023_059,2023,4,6,2,2,7,7,5,6,4,6,4,5,7,5,2,2,4,7,5
w2023_060,2023,6,4,2,4,6,7,5,4,7,6,7,1,7,2,3,5,7,2,1
w2023_061,2023,5,5,3,4,5,6,3,7,5,6,2,5,6,3,2,3,5,5,5
w2023_062,2023,5,6,2,6,6,6,3,1,5,2,3,2,7,4,6,5,4,1,5
w2023_063,2023,6,5,6,5,7,5,5,6,6,7,5,1,7,7,6,1,6,7,1
w2023_064,2023,4,6,4,2,2,6,4,4,6,7,3,5,7,4,6,6,5,2,2
w2023_065,2023,7,4,5,5,6,6,6,1,7,1,4,6,7,5,6,4,5,6,6
w2023_066,2023,4,5,3,6,3,6,5,2,5,5,2,3,6,3,5,2,4,4,6
w2023_067,2023,4,6,3,3,5,3,2,4,3,3,5,2,7,6,6,3,3,6,3
w2023_068,2023,5,5,2,6,2,7,3,4,1,5,2,6,1,3,1,3,6,6,4
w2023_069,2023,6,4,3,2,6,7,6,5,2,6,2,6,7,4,2,4,5,5,6
w2023_070,2023,3,5,4,7,3,5,4,4,4,6,2,7,6,6,4,4,4,3,5
w2023_071,2023,4,6,1,2,3,7,4,4,4,6,1,3,7,1,1,3,5,1,3
w2023_072,2023,4,3,3,1,6,5,4,2,4,4,4,3,4,3,6,1,5,7,3
w2023_073,2023,3,4,4,5,4,6,5,6,4,4,3,5,4,5,3,4,4,4,5
w2023_074,2023,2,6,3,5,3,6,5,3,1,6,3,6,6,5,2,3,2,3,6
w2023_075,2023,4,3,3,5,3,5,5,3,2,2,2,4,7,6,4,5,5,4,5
w2023_076,2023,3,4,6,6,5,6,3,7,3,7,3,5,7,5,3,2,3,3,6
w2023_077,2023,5,3,1,7,5,5,6,7,4,5,4,5,7,4,4,4,4,3,4
w2023_078,2023,5,5,6,4,4,3,4,3,4,3,4,6,6,6,5,4,5,6,4
w2023_079,2023,5,7,1,5,6,4,4,3,3,7,2,4,6,3,6,6,5,2,2
w2023_080,2023,5,6,2,2,7,5,3,2,1,7,6,1,7,2,6,3,6,4,2
w2023_081,2023,1,3,1,5,5,6,3,3,5,5,3,4,7,2,5,3,5,4,3
w2023_082,2023,5,4,1,7,3,4,1,7,5,7,6,5,7,2,5,2,6,2,4
w2023_083,2023,2,5,2,2,4,7,1,4,7,7,1,6,7,4,4,4,4,1,6
w2023_084,2023,4,6,4,1,5,5,3,7,3,4,3,3,6,1,4,2,5,3,3
w2023_085,2023,3,6,2,6,5,6,3,6,5,5,2,6,6,6,3,4,5,3,5
w2023_086,2023,5,6,4,5,2,6,6,3,1,7,3,5,7,6,5,3,5,7,4
w2023_087,2023,2,6,6,6,2,6,6,6,2,6,2,2,2,7,1,1,2,6,5
w2023_088,2023,4,3,5,3,6,5,3,2,5,2,5,2,6,5,2,3,5,6,2
w2023_089,2023,3,6,1,5,5,6,2,1,2,5,2,5,7,4,3,2,4,4,5
w2023_090,2023,5,6,3,3,3,5,4,3,4,6,4,4,7,3,4,5,4,5,4
w2023_091,2023,4,5,4,7,5,7,5,3,5,6,6,6,5,6,1,2,5,6,5
w2023_092,2023,5,7,1,4,4,7,5,6,3,5,3,4,7,5,4,3,5,4,4
w2023_093,2023,6,6,5,6,5,5,2,4,2,4,1,5,7,7,4,5,3,7,5
w2023_094,2023,2,7,1,7,4,7,3,4,3,7,1,5,7,4,4,5,3,2,4
w2023_095,2023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
w2023_096,2023,6,6,3,3,6,7,6,1,3,6,3,2,7,2,6,2,6,3,6
w2023_097,2023,6,6,4,7,5,7,6,2,2,5,3,5,5,4,5,4,4,2,5
w2023_098,2023,5,6,2,7,2,7,3,3,3,7,1,7,6,6,5,5,2,3,7
w2023_099,2023,5,6,4,4,5,7,4,5,6,5,6,5,7,3,5,3,6,6,3
w2023_100,2023,4,6,1,7,1,7,5,1,1,7,1,3,5,7,1,5,3,2,7
w2023_101,2023,3,5,6,3,3,2,3,7,6,2,5,7,7,7,6,2,5,2,7
w2023_102,2023,2,7,6,6,7,7,5,3,5,7,7,6,7,3,6,2,5,6,6
w2023_103,2023,5,6,7,6,6,3,6,3,7,6,5,5,7,6,7,3,7,3,4
w2023_104,2023,4,6,7,4,6,7,5,2,4,6,7,5,7,2,4,5,6,1,2
w2023_105,2023,3,6,3,7,3,7,4,2,7,6,1,5,1,7,3,5,5,5,6
w2023_106,2023,5,5,2,5,3,6,2,3,4,5,2,5,6,4,3,3,4,5,4
w2023_107,2023,5,4,7,4,6,7,5,4,3,4,5,6,7,1,5,1,4,5,5
w2023_108,2023,5,2,4,6,5,7,5,4,7,5,3,5,7,1,3,2,5,2,5
w2023_109,2023,4,5,1,2,5,5,6,2,2,3,3,5,6,4,6,3,3,3,3
w2023_110,2023,5,4,2,4,4,4,4,5,4,4,4,6,5,2,4,3,5,3,3
w2023_111,2023,3,4,6,3,7,7,4,7,5,6,2,7,7,4,4,2,6,4,2
w2023_112,2023,4,5,6,2,6,3,5,5,5,3,6,2,7,5,6,2,6,6,1
w2023_113,2023,4,3,3,5,6,3,2,2,2,3,4,5,5,4,2,2,5,3,4
w2023_114,2023,3,6,3,5,4,6,3,5,3,6,2,2,7,2,5,5,5,6,5
w2023_115,2023,5,6,5,5,6,6,5,4,5,3,3,1,7,5,5,5,6,3,2
w2023_116,2023,4,5,2,6,7,7,6,6,4,6,4,7,7,6,4,4,6,6,6
w2023_117,2023,7,6,1,7,5,7,3,1,3,7,1,1,7,1,1,7,3,3,2
w2023_118,2023,5,6,2,6,4,7,5,7,7,6,4,4,7,6,4,6,6,2,6
w2023_119,2023,2,3,2,6,2,5,3,3,3,6,3,5,7,6,3,3,4,3,5
w2023_120,2023,5,5,5,6,5,7,5,4,4,6,4,4,7,6,2,6,5,2,3
w2023_121,2023,1,6,2,7,1,6,2,2,1,4,1,6,7,3,2,1,5,4,7
w2023_122,2023,5,4,2,4,1,6,2,4,4,7,1,4,7,5,1,3,4,6,7
w2023_123,2023,6,5,4,4,6,2,2,3,5,3,3,3,7,7,2,3,6,3,5
w2023_124,2023,4,5,5,6,2,4,2,6,2,7,1,5,7,5,3,3,3,2,7
w2023_125,2023,4,6,2,3,6,7,3,5,6,7,3,5,7,1,1,5,4,3,3
w2023_126,2023,2,5,4,4,6,3,5,2,4,4,4,4,7,5,4,4,6,6,4
w2023_127,2023,3,5,3,3,6,4,2,3,4,2,5,6,7,1,6,4,4,2,5
w2023_128,2023,6,2,3,3,7,6,4,1,4,5,2,2,4,1,4,4,7,2,4
w2023_129,2023,4,7,4,6,4,6,5,5,2,5,3,4,7,5,6,2,6,4,7
w2023_130,2023,4,6,1,5,4,7,5,4,4,4,4,5,7,6,4,4,4,2,3
w2023_131,2023,4,1,4,1,6,7,4,3,4,3,4,2,7,7,3,3,3,6,5
w2023_132,2023,4,6,6,5,6,5,3,2,6,2,3,6,7,2,3,1,5,3,5
w2023_133,2023,6,7,5,6,6,3,2,7,4,6,4,6,7,5,6,2,5,3,3
w2023_134,2023,5,6,4,5,3,5,5,4,5,6,2,5,7,6,5,2,7,3,7
w2023_135,2023,5,3,2,2,6,4,4,5,3,2,2,2,7,2,3,3,5,4,2
w2023_136,2023,6,6,4,5,4,6,4,4,1,5,2,6,7,2,2,3,5,1,2
w2023_137,2023,3,5,3,7,3,6,2,4,3,7,2,6,7,4,1,2,4,5,4
w2023_138,2023,4,4,3,3,5,5,4,4,4,6,3,4,6,4,2,5,4,3,4
w2023_139,2023,4,2,4,4,7,6,7,7,7,5,4,4,7,6,6,6,6,6,6
w2023_140,2023,7,3,5,7,7,5,3,1,4,6,7,3,7,2,5,2,7,7,2
w2023_141,2023,4,3,4,6,5,5,4,3,3,4,2,4,7,2,4,2,4,4,4
w2023_142,2023,3,5,7,5,3,5,4,4,2,5,5,4,5,3,5,3,2,2,5
w2023_143,2023,5,6,3,7,5,6,2,3,1,6,2,5,6,5,4,4,5,3,6
w2023_144,2023,2,4,4,5,3,5,4,2,2,5,3,5,6,5,4,4,4,4,4
w2023_145,2023,4,5,2,6,4,7,1,5,6,2,6,6,7,7,2,4,3,3,2
w2023_146,2023,5,6,3,5,4,5,5,2,5,5,4,5,7,5,3,5,4,2,5
w2023_147,2023,3,3,6,5,3,4,3,2,1,4,4,2,7,1,5,2,4,5,3
w2023_148,2023,6,4,5,6,7,6,4,1,7,4,4,3,7,5,5,3,4,6,4
w2023_149,2023,5,3,6,2,6,2,3,5,1,5,2,5,7,5,7,3,5,4,2
w2023_150,2023,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2023_151,2023,7,4,4,2,6,7,5,1,5,7,4,7,6,5,4,7,6,3,5
w2023_152,2023,1,4,1,1,7,7,5,7,4,4,1,7,7,4,1,2,6,1,5
w2023_153,2023,4,1,3,3,6,1,6,4,4,1,1,5,6,1,4,1,2,1,1
w2023_154,2023,4,7,5,5,6,5,3,2,4,4,3,5,3,7,4,1,6,5,6
w2023_155,2023,1,4,1,5,5,5,6,1,1,1,4,6,3,5,4,2,3,6,4
w2023_156,2023,4,4,6,4,4,5,3,5,6,6,3,7,7,3,5,4,3,1,4
w2023_157,2023,4,6,3,7,4,7,4,4,5,7,1,5,4,7,1,2,3,2,3
w2023_158,2023,4,5,6,7,3,5,4,3,3,6,4,6,7,7,4,3,5,5,5
w2023_159,2023,4,2,3,5,6,3,4,3,5,2,5,5,4,6,4,3,4,6,2
w2023_160,2023,6,7,2,7,2,7,7,2,4,7,2,2,6,7,2,7,6,2,5
w2023_161,2023,5,7,3,2,7,7,2,1,2,7,2,3,7,5,4,3,6,4,6
w2023_162,2023,6,5,3,6,6,6,6,2,5,4,5,4,7,3,5,4,6,5,7
w2023_163,2023,6,4,4,5,6,7,4,2,3,5,2,3,7,7,4,2,4,6,5
w2023_164,2023,5,7,1,6,4,5,5,1,1,6,4,5,5,7,4,3,4,3,5
w2023_165,2023,4,4,1,4,2,6,4,6,3,7,3,5,7,4,2,5,4,2,5
w2023_166,2023,6,6,5,7,6,7,5,1,5,5,7,7,7,7,7,7,5,1,5
w2023_167,2023,5,3,5,6,3,6,3,6,3,4,2,6,4,6,3,2,5,2,5
w2023_168,2023,5,6,5,4,3,3,4,3,2,7,3,5,7,6,5,4,6,5,5
w2023_169,2023,5,6,5,5,4,5,3,4,4,4,4,5,6,4,4,3,5,5,4
w2023_170,2023,6,5,3,4,6,6,4,3,5,7,3,6,7,6,4,3,4,4,5
w2023_171,2023,5,2,4,3,5,6,5,6,6,5,2,1,6,6,5,3,7,3,4
w2023_172,2023,7,7,5,7,6,6,6,6,2,7,2,6,7,6,2,2,5,5,7
w2023_173,2023,6,4,3,7,4,5,5,5,3,6,5,6,7,2,2,3,5,6,6
w2023_174,2023,5,5,7,5,5,6,5,5,7,5,3,1,7,1,7,7,6,7,4
w2023_175,2023,5,6,2,5,2,6,2,2,1,6,2,4,3,1,4,2,2,1,3
w2023_176,2023,3,5,2,5,3,6,3,4,3,5,5,4,5,4,5,3,2,2,5
w2023_177,2023,5,5,3,5,6,4,3,2,4,3,5,4,7,3,5,2,6,5,2
w2023_178,2023,3,3,4,6,3,5,1,4,3,4,3,6,7,5,4,3,5,4,3
w2023_179,2023,4,4,2,6,5,6,6,5,5,6,4,4,7,4,4,4,5,5,4
w2023_180,2023,5,3,3,5,6,6,3,6,5,2,1,6,7,3,3,5,1,3,3
w2023_181,2023,4,3,5,2,5,5,4,5,4,2,3,2,6,4,4,2,4,5,5
w2023_182,2023,3,7,3,6,5,6,4,7,2,6,6,5,7,6,5,1,5,1,5
w2023_183,2023,5,7,1,2,6,3,5,2,5,5,3,3,7,2,4,3,4,2,3
w2023_184,2023,4,6,3,6,5,5,5,3,2,4,4,5,6,1,1,4,5,4,4
w2023_185,2023,5,5,7,6,3,5,2,6,3,5,2,5,6,7,4,3,5,3,4
w2023_186,2023,5,7,3,7,3,4,2,7,4,7,7,7,7,7,2,2,4,4,6
w2023_187,2023,4,5,2,7,6,7,5,7,2,5,1,6,6,5,5,4,4,5,7
w2023_188,2023,5,4,5,7,4,7,6,1,3,5,6,6,4,5,1,2,4,6,4
w2023_189,2023,6,7,6,1,6,6,7,1,6,2,7,2,6,7,4,2,6,6,2
w2023_190,2023,6,7,3,7,6,7,7,5,6,7,2,7,7,6,2,5,5,2,7
w2023_191,2023,5,6,7,3,2,3,3,4,3,2,3,5,7,6,5,5,5,6,4
w2023_192,2023,5,1,3,5,4,5,6,1,6,6,2,1,3,5,5,3,6,5,4
w2023_193,2023,5,6,2,5,6,5,2,6,2,6,2,5,7,5,2,3,3,3,3
w2023_194,2023,4,6,4,2,6,4,4,7,6,4,6,2,7,6,4,2,5,5,6
w2023_195,2023,4,5,2,4,3,7,3,3,5,7,2,5,7,4,2,3,2,3,6
w2023_196,2023,6,4,3,4,5,5,4,6,6,7,3,6,7,5,4,3,5,6,5
w2023_197,2023,4,2,3,2,7,2,5,7,7,7,2,2,7,3,7,3,5,5,2
w2023_198,2023,5,5,1,4,4,6,4,3,4,5,3,7,7,5,3,3,5,3,5
w2023_199,2023,5,5,4,5,6,3,3,6,4,5,2,2,3,4,3,3,6,6,4
w2023_200,2023,5,3,5,6,3,2,6,3,5,7,3,5,5,2,4,1,6,7,3
w2023_201,2023,4,4,4,4,4,7,7,1,7,1,5,7,7,1,4,4,4,2,4
w2023_202,2023,5,5,2,3,7,7,6,6,1,7,3,6,4,6,2,3,5,7,1
w2023_203,2023,7,6,1,5,3,7,6,5,4,6,3,5,7,3,2,1,6,1,3
w2023_204,2023,4,2,5,5,6,4,4,3,5,2,2,4,6,6,3,2,3,6,4
w2023_205,2023,5,3,4,1,6,3,3,6,6,2,6,1,7,1,6,2,6,6,2
w2023_206,2023,3,3,4,1,5,5,2,5,6,2,4,2,3,4,3,2,5,6,2
w2023_207,2023,3,5,1,6,2,6,2,1,2,6,2,5,7,4,6,2,6,1,4
w2023_208,2023,4,6,2,5,4,6,4,2,3,6,2,7,7,5,3,2,5,4,4
w2023_209,2023,5,4,5,5,6,4,2,3,5,3,5,5,7,5,6,3,5,3,5
w2023_210,2023,5,3,6,6,6,4,4,3,3,3,1,2,7,6,1,3,4,1,7
w2023_211,2023,7,4,3,4,4,5,7,3,6,5,4,3,6,4,6,2,7,6,1
w2023_212,2023,4,6,2,6,4,5,3,5,2,6,4,5,7,6,4,3,5,6,5
w2023_213,2023,3,5,3,5,4,6,6,7,7,7,1,7,7,3,5,2,3,3,4
w2023_214,2023,5,6,5,5,5,4,3,2,7,4,2,5,7,5,5,3,5,2,3
w2023_215,2023,4,6,2,6,4,5,1,3,6,4,2,2,7,7,5,1,6,4,4
w2023_216,2023,5,4,2,4,6,3,6,6,7,5,6,2,5,2,5,3,6,2,3
w2023_217,2023,4,2,4,4,6,4,4,4,6,3,6,2,7,1,6,4,5,1,2
w2023_218,2023,4,3,4,2,6,6,5,2,5,2,2,1,7,1,5,6,4,4,2
w2023_219,2023,6,5,2,2,7,7,5,3,6,4,6,2,5,5,4,2,5,2,5
w2023_220,2023,7,7,3,6,6,7,5,2,4,5,3,3,7,2,2,6,5,1,1
w2023_221,2023,6,4,5,1,7,3,3,7,7,5,1,1,7,2,4,2,6,5,5
w2023_222,2023,4,4,4,5,7,5,7,6,4,5,1,4,6,6,5,4,5,4,3
w2023_223,2023,6,6,6,7,5,2,2,4,1,3,1,3,3,6,3,3,5,6,5
w2023_224,2023,4,3,1,5,3,6,3,4,6,6,2,7,7,3,4,4,4,3,6
w2023_225,2023,6,4,5,6,4,6,3,4,2,5,1,5,7,5,3,3,4,2,5
w2023_226,2023,4,5,2,5,4,5,2,4,4,6,3,4,7,7,4,3,5,3,4
w2023_227,2023,7,3,4,3,7,5,6,1,4,3,4,4,7,6,6,3,5,6,1
w2023_228,2023,3,5,2,4,3,5,3,3,5,4,4,5,6,3,6,3,5,2,6
w2023_229,2023,6,5,7,5,3,5,2,3,1,6,5,2,5,6,4,3,5,5,5
w2023_230,2023,3,6,5,4,4,5,2,4,2,6,3,4,5,5,5,3,5,5,4
w2023_231,2023,5,3,4,4,1,7,1,1,5,4,7,1,7,2,1,5,5,1,2
w2023_232,2023,4,3,2,7,5,2,3,6,2,2,2,2,7,1,2,4,6,1,2
w2023_233,2023,5,6,3,4,6,6,4,1,2,4,3,6,7,2,5,2,5,6,4
w2023_234,2023,7,6,6,1,7,7,4,2,5,3,5,1,7,7,5,1,7,7,2
w2023_235,2023,4,4,2,5,5,4,4,5,4,5,2,5,7,4,3,4,4,2,6
w2023_236,2023,2,7,1,4,3,7,2,5,3,5,3,2,7,1,1,2,5,2,5
w2023_237,2023,2,6,3,5,5,6,3,5,4,5,5,4,6,3,3,3,5,5,2
w2023_238,2023,5,5,3,6,4,6,4,1,7,5,2,5,7,4,2,6,6,7,6
w2023_239,2023,2,2,2,3,5,7,1,5,5,6,4,2,7,6,1,2,4,6,4
w2023_240,2023,5,4,5,4,6,6,5,2,6,6,5,5,5,5,6,4,6,6,3
w2023_241,2023,7,7,7,6,7,7,4,1,2,4,7,3,7,1,3,6,7,7,4
w2023_242,2023,5,7,5,7,7,6,7,6,4,7,1,2,7,6,4,1,7,7,2
w2023_243,2023,4,7,1,7,6,7,2,3,2,7,1,7,3,5,4,1,4,1,2
w2023_244,2023,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
w2023_245,2023,5,6,2,7,3,7,2,7,6,7,2,6,7,7,2,2,6,4,6
w2023_246,2023,2,7,3,4,6,7,2,2,1,7,2,4,1,4,4,2,4,6,2
w2023_247,2023,4,4,4,5,4,5,4,4,3,5,4,5,5,5,3,4,4,5,5
w2024_001,2024,6,4,3,2,6,6,5,4,4,3,5,3,7,2,6,4,6,4,3
w2024_002,2024,4,3,2,5,3,3,4,4,5,5,3,3,5,5,4,3,5,4,4
w2024_003,2024,4,7,4,6,6,6,4,6,5,6,4,7,5,7,7,2,4,1,5
w2024_004,2024,6,4,7,6,7,6,5,1,7,3,6,1,7,6,4,2,7,6,3
w2024_005,2024,5,6,4,7,6,7,6,1,7,2,5,4,7,5,2,3,7,7,2
w2024_006,2024,6,5,3,2,5,4,7,4,5,5,3,6,7,2,4,3,5,5,3
w2024_007,2024,6,3,4,5,3,5,6,1,5,5,4,1,5,7,6,3,6,3,5
w2024_008,2024,4,3,4,7,4,7,2,3,3,5,2,6,7,4,1,2,5,1,3
w2024_009,2024,4,6,5,4,4,7,3,1,2,7,3,5,7,4,2,2,5,7,7
w2024_010,2024,3,3,6,5,5,5,3,5,3,3,3,5,7,3,6,2,5,5,4
w2024_011,2024,5,7,2,7,6,7,5,1,2,7,1,7,7,5,6,6,6,6,2
w2024_012,2024,5,4,2,3,7,7,6,2,2,6,1,1,7,7,3,2,4,1,1
w2024_013,2024,4,5,2,6,7,6,7,6,5,5,4,3,7,4,4,3,5,7,4
w2024_014,2024,4,6,2,5,3,5,4,5,3,4,3,3,7,5,3,3,4,3,5
w2024_015,2024,3,6,1,6,5,7,3,2,5,5,6,6,7,1,3,4,5,1,6
w2024_016,2024,5,6,4,7,3,7,3,2,1,6,1,1,7,5,2,5,2,4,5
w2024_017,2024,6,7,7,5,1,3,7,4,1,3,4,5,5,5,4,4,5,6,7
w2024_018,2024,4,4,5,5,4,6,5,2,4,3,5,2,7,1,5,2,6,3,6
w2024_019,2024,6,6,2,5,5,5,5,4,5,6,2,6,5,6,2,6,3,3,4
w2024_020,2024,4,2,2,4,3,5,4,7,6,4,4,2,7,1,4,2,6,3,4
w2024_021,2024,5,7,1,5,2,7,7,5,5,5,2,5,7,5,2,5,5,2,5
w2024_022,2024,5,5,1,3,4,7,3,5,3,2,2,6,5,6,4,4,3,2,5
w2024_023,2024,7,7,4,5,6,7,6,7,7,6,7,7,7,6,4,5,6,4,4
w2024_024,2024,3,6,1,2,4,5,2,1,2,5,1,4,6,2,3,2,3,3,2
w2024_025,2024,4,6,1,4,5,7,4,4,2,7,1,6,7,4,2,4,2,3,5
w2024_026,2024,3,5,1,7,6,6,4,5,2,6,2,6,5,5,4,6,3,1,5
w2024_027,2024,3,3,2,7,4,6,3,3,3,6,2,3,7,4,5,2,5,2,5
w2024_028,2024,5,3,3,2,6,3,4,5,6,4,5,6,6,3,5,2,4,5,2
w2024_029,2024,7,5,4,5,4,6,3,2,4,7,5,5,7,2,4,3,6,6,6
w2024_030,2024,4,5,3,5,4,5,2,6,3,6,2,5,5,4,4,5,3,4,4
w2024_031,2024,2,6,2,4,2,6,1,5,2,6,4,6,1,7,4,6,1,4,5
w2024_032,2024,4,3,5,2,5,6,6,6,5,5,5,2,6,3,5,2,6,5,3
w2024_033,2024,1,7,7,7,1,7,2,2,1,7,1,7,4,1,1,1,1,1,7
w2024_034,2024,6,7,1,5,6,7,6,4,4,7,4,5,7,7,7,5,6,1,5
w2024_035,2024,5,3,2,4,5,5,3,4,4,4,3,2,4,2,5,3,4,3,4
w2024_036,2024,4,5,4,5,3,6,4,1,6,2,5,3,6,5,5,2,3,2,4
w2024_037,2024,5,1,3,3,2,4,6,2,6,6,1,5,7,2,5,5,6,3,1
w2024_038,2024,4,6,2,7,4,6,4,4,3,5,4,3,6,6,4,5,4,5,5
w2024_039,2024,4,2,7,4,4,7,6,1,4,4,3,2,7,3,5,3,5,6,3
w2024_040,2024,4,4,4,4,4,7,5,2,4,4,3,3,7,2,4,3,4,6,3
w2024_041,2024,5,5,3,4,6,5,5,4,5,6,4,3,7,5,4,3,6,4,2
w2024_042,2024,4,4,2,2,6,4,5,6,4,4,4,4,7,2,6,2,6,4,2
w2024_043,2024,5,3,2,2,7,6,1,2,4,5,4,3,7,3,3,3,4,6,3
w2024_044,2024,4,3,2,6,1,3,2,4,5,7,5,5,7,5,4,1,7,4,2
w2024_045,2024,4,5,1,5,4,5,2,2,3,6,3,5,7,4,3,4,3,3,4
