resp_id,wave,datum,pohlavi,rok_narozeni,obor1,obor2,zkusenost,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26
w2023_019,2023,2023-02-14,Muž,2001,Dějepis se zaměřením na vzdělávání,,False,7,7,4,5,6,7,7,7,5,4,3,3,7,4,7,7,6,5,7,6,5,3,7,4,5,7
w2023_020,2023,2023-02-14,Žena,1998,Fyzika se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,True,6,7,4,3,6,5,6,7,5,4,4,6,5,3,3,3,5,5,6,5,6,7,6,7,5,7
w2023_021,2023,2023-02-14,Žena,2001,Přírodopis se zaměřením na vzdělávání,Chemie se zaměřením na vzdělávání,False,7,7,7,6,5,6,7,7,3,7,3,7,6,7,7,7,6,3,7,7,6,7,7,6,6,7
w2023_022,2023,2023-02-14,Žena,1999,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,6,4,3,6,7,7,4,6,3,6,6,6,2,2,7,5,6,5,5,4,5,5,5,5
w2023_023,2023,2023-02-14,Žena,1999,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,4,5,5,6,7,6,6,7,5,5,6,6,4,3,5,4,6,7,6,6,7,7,7,5
w2023_024,2023,2023-02-14,Žena,2002,Anglický jazyk se zaměřením na vzdělávání,Matematika se zaměřením na vzdělávání,False,7,5,2,7,4,5,7,7,2,6,5,5,6,4,4,6,5,5,6,5,7,5,6,7,7,6
w2023_025,2023,2023-02-14,Žena,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,6,5,6,5,6,5,7,7,2,2,2,2,6,2,5,6,6,5,5,7,7,7,6,4,6,7
w2023_026,2023,2023-02-14,Žena,1997,Hudební výchova se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,True,7,6,4,5,4,7,7,7,4,7,3,5,7,5,7,7,6,6,6,7,6,7,6,7,6,6
w2023_027,2023,2023-02-14,Žena,2002,Anglický jazyk se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,7,3,5,2,6,7,7,5,6,2,6,7,7,7,2,5,4,6,6,7,7,7,6,7,7
w2023_028,2023,2023-02-14,Muž,2001,Anglický jazyk se zaměřením na vzdělávání,,False,6,5,6,5,4,6,5,6,4,5,3,5,6,5,7,6,6,3,5,6,6,7,5,4,5,7
w2023_029,2023,2023-02-14,Muž,2002,Anglický jazyk se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,6,7,6,5,5,5,6,7,3,7,4,7,7,6,6,7,5,6,6,7,6,7,6,6,6,6
w2023_030,2023,2023-02-14,Žena,2001,Matematika se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,True,6,6,6,4,4,5,6,6,4,5,5,6,6,4,5,6,6,4,6,6,6,6,5,6,5,6
w2023_031,2023,2023-02-14,Žena,2002,Ruský jazyk se zaměřením na vzdělávání,Matematika se zaměřením na vzdělávání,False,7,7,5,6,5,7,7,7,4,5,4,4,7,5,7,7,7,7,6,6,5,5,7,7,7,6
w2023_032,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,7,3,4,7,7,7,4,7,4,4,6,7,7,4,6,4,5,2,6,7,7,7,5,7
w2023_033,2023,2023-02-14,Žena,2000,Matematika se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,False,7,7,7,6,4,6,7,7,3,7,4,6,5,5,6,7,6,5,6,6,6,7,7,7,7,7
w2023_034,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,True,7,7,4,5,6,7,7,7,3,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
w2023_035,2023,2023-02-14,Muž,2000,Zeměpis se zaměřením na vzdělávání,Základy společenských věd se zaměřením na vzdělávání,False,7,7,6,7,7,7,7,7,6,7,5,7,7,5,2,3,7,7,7,7,7,6,7,7,7,6
w2023_036,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,False,5,6,5,5,5,6,7,7,4,6,3,5,5,6,2,6,6,4,5,4,4,6,6,5,4,6
w2023_037,2023,2023-02-14,Muž,1998,Matematika se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,True,6,6,2,7,6,6,6,6,6,2,6,7,7,2,2,2,6,4,7,7,7,2,4,7,7,4
w2023_038,2023,2023-02-14,Muž,2001,Matematika se zaměřením na vzdělávání,Ruský jazyk se zaměřením na vzdělávání,True,7,7,2,6,3,7,7,7,2,2,4,7,7,2,5,2,6,6,7,7,6,6,4,6,6,6
w2023_039,2023,2023-02-14,Žena,2002,Anglický jazyk se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,5,4,5,6,6,6,6,6,6,5,4,4,3,3,5,5,7,6,7,4,7,7,6,6
w2023_040,2023,2023-02-14,Žena,2001,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,4,5,6,7,7,7,6,6,7,7,7,4,5,5,7,7,7,7,7,6,7,7,7,6
w2023_041,2023,2023-02-14,Žena,1999,Anglický jazyk se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,3,6,4,7,7,7,4,5,5,2,2,5,4,6,5,3,6,4,5,7,7,7,6,7
w2023_042,2023,2023-02-14,Žena,2002,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Hudební výchova se zaměřením na vzdělávání,False,7,7,7,5,5,4,4,7,7,7,4,7,7,7,7,7,7,5,7,4,5,6,7,5,5,7
w2023_043,2023,2023-02-14,Muž,2002,Matematika se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,6,5,4,3,4,6,5,7,3,6,5,7,6,5,4,3,4,5,6,6,6,5,7,7,7,5
w2023_044,2023,2023-02-14,Muž,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,False,5,7,7,6,5,6,6,7,4,5,6,6,5,6,7,5,7,3,6,6,5,6,7,6,6,7
w2023_045,2023,2023-02-14,Žena,2002,Speciální pedagogika se zaměřením na vzdělávání,Matematika se zaměřením na vzdělávání,False,6,5,5,4,3,6,7,7,2,4,4,5,4,5,5,5,4,4,5,7,6,6,7,7,4,7
w2023_046,2023,2023-02-14,Žena,2001,Matematika se zaměřením na vzdělávání,,False,7,6,5,5,5,7,6,5,4,4,4,5,5,3,3,4,6,5,5,6,5,7,6,5,7,4
w2023_047,2023,2023-02-14,Muž,1997,Matematika se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,False,7,6,5,4,6,7,7,7,4,4,6,4,5,4,6,6,7,5,6,5,6,4,7,7,7,7
w2023_048,2023,2023-02-14,Muž,2001,Zeměpis se zaměřením na vzdělávání,Technická a informační výchova se zaměřením na vzdělávání,True,6,5,5,4,5,4,6,5,4,5,3,6,5,6,7,6,6,5,5,6,5,6,5,5,6,6
w2023_049,2023,2023-02-14,Žena,2001,Český jazyk a literatura se zaměřením na vzdělávání,Přírodopis se zaměřením na vzdělávání,False,6,6,6,5,7,5,5,7,3,7,3,3,7,7,7,5,7,6,7,6,6,7,7,6,7,7
w2023_050,2023,2023-02-14,Muž,2000,Technická a informační výchova se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,True,6,6,4,7,5,6,7,7,5,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2023_051,2023,2023-02-14,Muž,2000,Chemie se zaměřením na vzdělávání,Matematika se zaměřením na vzdělávání,True,7,6,5,4,5,5,7,7,3,4,5,5,4,7,7,7,7,5,5,4,5,7,7,6,3,7
w2023_052,2023,2023-02-14,Muž,2000,Dějepis se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,True,7,2,4,3,3,4,7,5,1,7,2,7,7,7,7,7,7,1,7,7,7,7,4,5,7,7
w2023_053,2023,2023-02-14,Žena,2001,Přírodopis se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,7,7,3,6,7,7,7,2,7,5,7,5,7,1,5,7,1,7,5,7,7,7,7,7,6
w2023_054,2023,2023-02-14,Žena,1998,Výchova ke zdraví se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,False,7,7,6,4,4,7,7,7,4,7,6,7,6,6,5,7,6,6,5,7,6,7,7,7,7,7
w2023_055,2023,2023-02-14,Žena,2002,Matematika se zaměřením na vzdělávání,Fyzika se zaměřením na vzdělávání,True,6,6,6,3,3,5,6,7,5,7,1,5,6,6,6,6,6,3,5,6,6,6,6,6,6,6
w2023_056,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,,True,7,7,5,5,4,6,7,7,3,3,1,5,7,5,2,6,6,6,7,6,7,7,7,7,7,6
w2023_057,2023,2023-02-14,Žena,1985,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,6,4,4,7,7,7,3,7,3,5,6,7,7,6,7,5,7,6,6,7,7,7,7,7
w2023_058,2023,2023-02-14,Žena,2002,Přírodopis se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,False,7,7,6,5,5,7,7,7,5,7,3,6,6,5,7,7,6,6,5,4,6,7,7,7,5,7
w2023_059,2023,2023-02-14,Žena,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,False,4,6,7,5,5,6,7,7,4,7,6,7,4,6,4,4,6,6,4,5,5,5,4,5,4,5
w2023_060,2023,2023-02-14,Žena,2001,Německý jazyk se zaměřením na vzdělávání,,False,5,7,6,6,7,6,6,7,5,6,5,4,4,6,3,5,6,7,5,4,5,6,7,5,7,7
w2023_061,2023,2023-02-14,Žena,2001,Dějepis se zaměřením na vzdělávání,Technická a informační výchova se zaměřením na vzdělávání,True,7,7,7,6,5,6,6,5,6,4,4,6,6,4,5,2,5,5,5,5,5,5,6,6,6,7
w2023_062,2023,2023-02-14,Žena,2002,Matematika se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,5,7,7,4,5,6,7,7,4,7,5,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
w2023_063,2023,2023-02-14,Muž,2001,Technická a informační výchova se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,6,7,6,7,7,7,6,6,6,6,7,6,6,7,7,6,7,6,7,7,7,7,7,7
w2023_064,2023,2023-02-14,Muž,2000,Dějepis se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,5,3,4,7,7,7,1,5,2,7,7,5,7,7,6,2,7,7,7,7,7,3,7,7
w2023_065,2023,2023-02-14,Žena,2002,Speciální pedagogika se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2023_066,2023,2023-02-14,Žena,1998,Německý jazyk se zaměřením na vzdělávání,,True,7,5,4,4,6,6,5,5,2,4,3,5,6,5,5,5,5,5,5,3,6,6,5,6,6,6
w2023_067,2023,2023-02-14,Žena,2001,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Speciální pedagogika,True,6,6,6,3,4,6,7,7,2,6,3,4,5,6,5,5,7,5,6,6,6,6,7,6,6,6
w2023_068,2023,2023-02-14,Muž,2001,Anglický jazyk se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,False,7,7,4,6,5,6,6,6,3,7,5,6,6,5,5,5,6,5,6,4,5,6,6,6,4,5
w2023_069,2023,2023-02-14,Žena,2001,Výtvarná výchova se zaměřením na vzdělávání,,True,7,5,5,4,3,4,6,6,2,5,2,4,5,6,5,6,6,5,6,5,5,6,6,6,6,5
w2023_070,2023,2023-02-14,Žena,2002,Anglický jazyk se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,False,7,7,6,6,6,7,7,7,4,6,6,3,4,5,6,6,6,6,6,5,5,7,7,7,6,7
w2023_071,2023,2023-02-14,Žena,2001,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,4,4,5,4,7,7,6,4,7,7,7,2,5,4,7,7,7,4,7,7,7,7,5,7
w2023_072,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,Zeměpis se zaměřením na vzdělávání,False,7,7,6,5,5,6,7,7,4,7,5,5,4,6,5,5,5,6,5,6,6,6,7,7,6,6
w2023_073,2023,2023-02-14,Žena,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,False,6,6,6,5,5,5,6,6,6,5,5,5,5,6,5,7,6,4,5,5,5,6,5,6,4,6
w2023_074,2023,2023-02-14,Žena,2002,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,False,6,6,6,6,7,6,7,7,6,3,4,7,7,5,6,7,7,6,7,6,7,7,7,7,7,7
w2023_075,2023,2023-02-14,Žena,2000,Přírodopis se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,False,6,6,5,6,6,6,7,6,5,7,3,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
w2023_076,2023,2023-02-14,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,,False,6,7,3,7,5,6,7,7,5,5,4,4,5,4,5,5,5,6,6,6,6,7,6,7,6,6
w2023_077,2023,2023-02-14,Muž,2002,Český jazyk a literatura se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,5,5,5,6,7,7,5,6,3,4,4,6,7,7,4,6,5,5,7,7,7,6,6,7
w2023_078,2023,2023-02-14,Žena,2002,Matematika se zaměřením na vzdělávání,,False,7,6,7,4,4,6,6,7,4,4,1,7,5,5,6,6,5,5,5,5,4,5,6,6,6,5
w2023_079,2023,2023-02-14,Žena,2002,Ruský jazyk se zaměřením na vzdělávání,,False,7,7,6,7,7,7,7,7,5,6,4,4,7,6,5,7,7,7,7,7,6,6,7,6,7,7
w2023_080,2023,2023-02-14,Muž,2002,Matematika se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,7,6,6,6,7,7,4,6,5,7,7,6,6,7,7,6,7,7,7,7,7,6,7,7
w2023_081,2023,2023-02-14,Žena,2001,Výchova ke zdraví se zaměřením na vzdělávání,Přírodopis se zaměřením na vzdělávání,False,7,7,7,5,3,7,7,7,3,7,2,7,6,7,7,7,6,6,6,7,6,7,7,7,7,7
w2023_082,2023,2023-02-14,Muž,2000,Dějepis se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,1,4,4,7,7,7,6,2,7,2,2,3,2,2,6,7,7,7,7,7,7,7,7,2
w2023_083,2023,2023-02-14,Žena,2002,Speciální pedagogika se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,4,6,4,7,7,7,6,5,6,5,7,5,4,5,7,6,6,6,6,7,6,7,7,7
w2023_084,2023,2023-02-14,Žena,1999,Dějepis se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,False,7,6,3,4,5,7,7,7,5,6,5,5,7,5,4,5,6,6,6,7,6,6,7,7,6,6
w2023_085,2023,2023-02-14,Žena,2001,Německý jazyk se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,True,6,7,5,6,6,7,5,5,3,4,5,6,6,4,3,3,6,6,6,6,6,6,7,7,7,6
w2023_086,2023,2023-02-15,Žena,1998,Český jazyk a literatura se zaměřením na vzdělávání,Přírodopis se zaměřením na vzdělávání,False,5,6,7,6,6,6,7,7,5,6,5,7,7,4,3,6,6,7,5,7,7,7,7,7,6,6
w2023_087,2023,2023-02-15,Žena,2001,Německý jazyk se zaměřením na vzdělávání,,True,4,4,4,4,5,6,7,7,4,7,5,3,4,4,4,6,5,5,6,5,5,6,7,6,6,6
w2023_088,2023,2023-02-15,Žena,2002,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,6,7,5,3,5,6,7,5,5,6,6,4,3,3,3,5,6,6,6,2,4,6,6,7,4,7
w2023_089,2023,2023-02-15,Žena,2002,Hudební výchova se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,7,7,7,5,3,5,6,6,2,6,4,5,6,6,3,7,7,6,5,5,5,7,7,7,5,5
w2023_090,2023,2023-02-15,Žena,2000,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,True,7,7,5,4,4,7,6,5,4,5,4,1,4,5,4,7,5,7,5,5,4,5,7,7,7,6
w2023_091,2023,2023-02-15,Žena,2002,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,False,7,7,6,7,5,7,7,7,2,7,6,7,7,6,6,2,6,6,7,6,7,7,7,7,7,6
w2023_092,2023,2023-02-15,Žena,2001,Německý jazyk se zaměřením na vzdělávání,,False,7,7,4,7,6,7,7,7,7,7,3,4,7,4,4,6,7,5,7,7,7,7,7,7,7,7
w2023_093,2023,2023-02-15,Žena,2001,Výchova ke zdraví se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,False,7,7,5,4,5,7,7,7,5,7,5,4,6,7,7,7,6,7,6,6,7,7,7,6,7,6
w2023_094,2023,2023-02-15,Žena,2000,Matematika se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,7,7,5,5,5,4,7,7,5,7,4,7,7,5,3,7,7,7,7,7,7,7,7,7,6,7
w2023_095,2023,2023-02-15,Žena,1999,Výchova ke zdraví se zaměřením na vzdělávání,Německý jazyk se zaměřením na vzdělávání,True,7,7,7,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
w2023_096,2023,2023-02-15,Muž,2000,Český jazyk a literatura se zaměřením na vzdělávání,Přírodopis se zaměřením na vzdělávání,True,6,5,4,6,5,7,7,7,1,5,2,6,6,7,5,6,4,6,7,7,7,6,7,3,6,7
w2023_097,2023,2023-02-15,Žena,2002,Přírodopis se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,7,5,6,6,4,5,7,5,5,5,6,6,5,7,7,6,5,5,7,7,7,6,5,7,7
w2023_098,2023,2023-02-15,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,Německý jazyk se zaměřením na vzdělávání,False,7,7,7,6,4,6,6,7,3,5,5,5,6,6,4,7,5,6,6,5,7,6,7,6,6,6
w2023_099,2023,2023-02-15,Muž,2001,Technická a informační výchova se zaměřením na vzdělávání,Fyzika se zaměřením na vzdělávání,True,5,5,4,3,5,5,7,6,3,6,5,6,5,5,7,7,6,5,6,6,7,7,6,5,6,5
w2023_100,2023,2023-02-15,Žena,2002,Český jazyk a literatura se zaměřením na vzdělávání,Německý jazyk se zaměřením na vzdělávání,True,7,7,5,7,4,4,5,7,5,6,3,5,5,4,5,5,5,6,6,5,6,5,6,5,6,7
w2023_101,2023,2023-02-15,Muž,2000,Matematika se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,True,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2023_102,2023,2023-02-15,Muž,2000,Chemie se zaměřením na vzdělávání,Německý jazyk se zaměřením na vzdělávání,True,6,7,6,7,6,4,6,6,2,2,4,7,6,6,3,3,5,6,6,6,6,6,6,6,7,7
w2023_103,2023,2023-02-15,Žena,2001,Český jazyk a literatura se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,True,7,7,7,5,6,6,7,7,5,7,5,5,7,7,7,7,7,6,6,6,7,7,7,7,7,7
w2023_104,2023,2023-02-16,Žena,2002,Výchova ke zdraví se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,True,7,7,5,4,5,7,6,7,5,6,4,7,7,5,5,5,5,4,7,7,7,7,7,7,7,6
w2023_105,2023,2023-02-16,Žena,2001,Výtvarná výchova a vizuální tvorba se zaměřením na vzdělávání,,True,7,7,4,6,5,4,7,7,5,4,6,6,6,4,6,6,5,6,7,6,5,4,7,4,6,7
w2023_106,2023,2023-02-16,Žena,2001,Matematika se zaměřením na vzdělávání,Výchova ke zdraví se zaměřením na vzdělávání,False,7,6,5,5,4,6,6,7,4,5,3,5,6,5,4,5,6,6,5,6,6,5,6,7,6,5
w2023_107,2023,2023-02-16,Žena,2001,Výtvarná výchova se zaměřením na vzdělávání,,True,7,7,5,5,4,5,7,7,6,6,4,5,5,5,5,5,6,5,5,6,5,5,6,7,7,7
w2023_108,2023,2023-02-16,Žena,2002,Výchova ke zdraví se zaměřením na vzdělávání,Anglický jazyk se zaměřením na vzdělávání,True,6,7,7,5,4,6,7,7,3,5,3,5,6,6,5,5,7,7,7,6,4,7,7,7,7,6
w2023_109,2023,2023-02-16,Muž,1999,Technická a informační výchova se zaměřením na vzdělávání,Hudební výchova se zaměřením na vzdělávání,True,7,7,5,6,5,6,7,7,5,3,4,5,5,6,6,5,5,4,5,5,5,7,5,6,4,5
w2023_110,2023,2023-02-16,Žena,2001,Anglický jazyk se zaměřením na vzdělávání,,False,6,6,3,5,3,6,6,6,2,7,3,5,6,5,5,3,5,3,6,6,6,5,4,6,6,6
w2023_111,2023,2023-02-16,Muž,1998,Matematika se zaměřením na vzdělávání,Technická a informační výchova se zaměřením na vzdělávání,True,7,7,4,6,5,7,7,7,5,5,3,6,5,4,6,7,7,4,4,6,4,7,5,7,4,7
w2023_112,2023,2023-02-16,Žena,2001,Výchova ke zdraví se zaměřením na vzdělávání,Speciální pedagogika se zaměřením na vzdělávání,True,7,7,3,4,5,5,7,7,3,5,5,5,5,5,4,5,5,3,6,6,6,6,6,5,6,5
w2023_113,2023,2023-02-16,Muž,2002,Český jazyk a literatura se zaměřením na vzdělávání,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,True,6,6,4,4,5,3,7,5,4,5,2,7,7,2,5,6,6,6,5,5,5,3,6,5,6,5
w2023_114,2023,2023-02-17,Žena,2001,Zeměpis se zaměřením na vzdělávání,Matematika se zaměřením na vzdělávání,False,7,7,4,3,4,5,6,7,2,4,2,5,4,7,3,7,5,7,6,6,5,6,6,6,7,6
w2023_115,2023,2023-02-17,Muž,2001,Anglický jazyk se zaměřením na vzdělávání,Dějepis se zaměřením na vzdělávání,True,6,5,4,3,5,5,6,6,3,5,2,6,6,4,4,5,5,5,5,6,6,7,7,4,5,6
w2023_116,2023,2023-02-17,Žena,2001,Občanská výchova a základy společenských věd se zaměřením na vzdělávání,Český jazyk a literatura se zaměřením na vzdělávání,True,7,7,5,4,6,7,7,7,5,7,4,5,7,7,4,4,6,5,6,7,7,6,7,7,7,7
